일련번호,Title,연도,저자,구분,Topic,요약
28,감정은 습관이다,2013,박용철,인문/자기계발,감정 습관,"니코틴 중독과 같은 나쁜 습관이 삻의 질을 떨어뜨리듯이, 감정은 일종의 습관으로 자리잡아, 삶에 부정적인 영향을 주게 된다.잘못된 감정 습관이 불안을 심화시키거나, 심지어 우울증으로도 이어지는 등, 폐해를 유발하기 전에 이를 억제하는 노력이 필요하다.꾸준한 자기 관찰을 통해, 부정적으로 빠지는 자기자신의 패턴을 발견하고, 긍정적인 사고를 일으킬 수 있도록, 지속적으로 연습하는 것이, 생각하는 것보다 효과적으로 감정 습관을 치유할 수 있게 한다."
29,강남되는 강북부동산은 정해져 있다,2022,엄재웅,경제/경영,부동산 투자,"저자는 기존의 부동산 투자 공식을 뒤집고, 도시 계획에 근거한 합리적 의사결정으로 최대의 수익을 거둘 것을 제안한다.현재(2022)기준으로 정부의 규제책으로 기존의 핵심 입지+신축 필승이라는 고정관념은 전매제한등으로 기대가 어려운 상황이다. 따라서 아파트 지역 위주에서 벗어나, 용적률이 높은 상업지를 포함한 개발 구역에 대한 이해 높여 새로운 가치를 창줄해야 한다.이런 개발 구역에 대해 이해를 높이기 위해서는 서울시등 정부지자체의 정책을 잘 알아야 하며, 서울 생활권 계획에는 이런 내용이 총망라되어 있으므로, 숙지하는 것이 중요하며, 반드시 원문을 통해 확인해야 한다.서울의 기본 방침은 강남북 균형개발이며, 비강남권 주요 거점개발 지역을 주목해야 한다. 먼저 동북권은, 창동/상계는 GTX 및 창동기지 개발등이 예정된 유망한 지역이다. 서북권에서는 상암 수색은 롯데몰 중심으로 개발이 예정되어 있고, 구파발,연신내는 GTX및 서울혁신파크에 주목하자. 서남권은 김포공항의 고도제한 해제와 더불어 공항동/방화동 재개발이 전망이 좋고, 구로의 천왕역세권도 중점 개발이 예정되어 있다"
30,강남의 탄생,2016,강희용/한종수,경제/경영,도시 개발,"오늘날의 강남의 탄생과 발전 역사를 자세히 설명한다.강남은 전후 서울 인구의 급팽창과 북한의 위협에 대응하기 위한 한강 이남 개발의 필요성에 의해서 탄생한다. 박정희 정권의 강한 의지를 바탕으로, 제3한강교(한남대교)와 경부고속도로 건설이 신호탄이 되어, 한강 남쪽 강변의 제방사업으로 거대한 아파트 지구로 개발이 시작된다.정부의 강력한 추진력을 바탕으로, 격자형의 대규모 도로, 한강다리, 관세청등 국가기관, 병원등도 밀집하게 된다. 또한 한국의 부동산 입지의 중요한 요인인 교육기관(경기고등)이 집단 이주하면서, 인프라가 극적으로 개선된 것도 발전에 큰 영향을 준다.강남은 이후 확장의 과정을 거치는데, 동쪽으로 올림픽을 대비한 2호선 개통과 잠실 개발되고, 남쪽으로 수서와 분당 신도시가 그 예이다.강남은 투기의 교과서, 삼풍의 붕괴등 성장의 부실한 이면의 부정적인 이미지도 많으나, 재건축으로 도시경관 개선, 성형산업, 가로수길등 문화산업의 메카로의 입지등 복합적인 문화 중심지로도 꾸준히 발전하고 있다"
31,강신주의 감정수업,2013,강신주,인문/자기계발,감정과 관계,"우리는 사회 생활을 하면서, 모든 감정을 표현하기 보다는 감추고 억누르는 것을 배우고 실천한다. 그래서 얻은 결과는 이성에 질식된 죽은 감정을 가진 자아이다.이 책은 그 질식된 감정을 다시 심폐 소생시키려는 시도이다. 감정은 기쁨과 즐거움만 있는 것이 아니라, 분노, 슬픔, 불안, 절망과 같은 감정들도 사람에게  당연히 필요하고, 소중한 것들이다.저자는 다양한 문학 작품과 철학자들의 담론을 통해서 죽어가는 감정을 되살리려는 시도를 이어간다.나보코프의 ""롤리타""라는 작품은 중년 남자가 10대 소녀를 사랑하게 되는 내용인데, 소아성애자가 롤리타 증후군으로 불리는 이유. 사회적으로 매장될 것임을 알면서도 그가 사랑을 선택하고, 통념의 노예가 아닌 삶의 주체로 태어난다."
32,개인주의자 선언,2015,문유석,인문/자기계발,개인주의와 사회적 책임,"판사인  저자는, 한국사회의 집단주의로 인한 폐해를 건강한 개인주의를 강조함으로써 극복하고자 한다.여기서 말하는 개인주의란, 한 사람이 전체와 다른  의견과 생각을 자유롭게 말하고, 실행할 수 있는 사회적 환경을 의미한다.개인주의를 온전히 실현하기 위해서는, 다른 사람에 대한 이해와 받아들임이 선행되어야 한다. 여기서 말하는 타인에 대한 이해는, 남에게 피해를 주지 않는 범위의 소극적인 개인주의의 의미라기 보다는,  타인이 실현하려고 하는 개인주의적 행동으로 수반될 생활의 불편을 이해한다는 의미이다.이런 관용적인 사회 분위기가 전제될때, 진정한 의미의  개인주의가 꽃피는 사회가 될 수 있다."
33,거의 완벽에 가까운 사람들,2018,마이클 부스,역사/사회,북유럽 사회,"북유럽 국가들에 대한 주요 특징과 문제점을 알아보고 있다. 먼저 덴마크는 가장 행복한 나라로 꼽히지만, 일을 안하려는 사회적 분위기가 문제이다. 역시 최고 72%를 자랑하는 세율이 한 몫을 한다. 산타의 고향인 핀란드는 사우나로 굉장히 유명하다. 러시아와의 지리적 인접성 때문에 불운한 역사를 가지고 있지만, 그 복잡한 외교적인 관계를 강점으로 승화시킨 예이다. PISA에서 높은 성적을 거두는등 교육에서 성과를 발휘한다.아이슬란드는 과도한 레버리지 투기로 인해, 2008년 금융 위기에 큰 고생을 한 나라이다. 요정을 진지하게 믿는 간헐천의 나라로서 지열 발전을 통해 기후 변화에 대응중이다. 노르웨이는 브레이비크의 인종차별 무차별 테러로 충격을 안겨준 나라이다. 하지만 1980년 발견된 북해 유전으로 가장 부유한 나라중 하나이며, 사람들의 근로 의욕 상실로 많은 고민을 하고 있다.스웨덴은 지구상 가장 현대적인, 부유하고 평등하며 절제된 나라이다. 하지만 사회민주당의 일당 독재와 몰려오는 이민자로 인한 갈등이 내재되어 있다."
37,경영의 모험,2015,존 브룩스,경제/경영,기업 경영,"존 브룩스의 1969년 저작으로, 미국 자본주의의 황금시대의 기업의 경영활동에 대한 생생한 기록. 주로 경영전략이나 증권투자자들과의 관계, 그리고 세금등 거시환경에 대한 다양한 사례들을 담고 있다.포드의 애드셀 신차의 처참한 실패 사례에서는 흔히 당시 유행이던 소비자 동기 조사에 기반한 전략의 실패로 얘기되지만, 소련의 스푸트니크 사건이나, 조변석개하는 소비자의 선호도의 변화등, 해석할 수 없는 복합적인 원인 있음을 얘기한다.한편, 1962년 5월의 주식 대폭락 사태에 대해서는, 1929년 대공황의 계기가된 대폭락의 데자뷔에 대한 당시 사람들의 공포와 긴박했던 순간들을 묘사하고, 제록스의 사례에서는 칼슨이라는 천재적인 발명가의 아이디어가 어떻게 성공적인 사업으로 연결되었는지, 다양한 관련 인물들의 이야기를 통해 조명해본다.60년대의 AT&T등 대기업의 주주총회 현장에서 금융자본주의에서의 기업의 다양한 이해관계를 알수 있고, 68년에 일어난 파운드화의 금융위기에 미국과 전세계 금융가들의 긴박한 대응 과정도 엿볼 수 있다"
38,경제학자의 생각법,2015,하노벡,경제/경영,경제학 원리,"다양한 현실의 사례를 어떻게 경제적 관점에서 해석하고 판단할지에 대해서 논의한다. 먼저 중고차 시장, 매몰비용등 기본적인 경제학 개념과, 정보의 비대칭에 대해서 설명한다. 다음으로 자본주의 경제에 필연적인 경쟁에 대해, F1의 기술금지와 특허의 관계, 전통시장의 어려움을 현시선호이론, 브랜딩과 카르텔(의식적 병행행위), 용의자의 딜레마, 가중치의 함정등도 보여준다.경기의 미스터리에 대해, 돈과 인플레이션, 공급이 수요를 창출한다는 Say's Law, 정책의 일관성(샤워실의 바보), 정책의 비효과성을 내생화폐이론등도 제시한다. 경제학에 대한 오해중에서, 인구의 재앙에 대한 맬서스의 이론이 기술 발전을 예측하지 못함, 인간 노동이 기계에 위협당하는 이유가 생산성이라는 점점, 인간의 미충족 욕구가 있는 이상 노동이 종말하지 않는다는 점을 언급한다.정치에 대한 경제학적 관점도 제시하는데, 빈곤 문제 측정을 위한 척도에 대한 개선과 전문가의 지대추구 행위, 정부의 보조금이나 혁신정책의 허점, 최저임금이 실업을 유발할 수 있음을 지적한다"
39,경제학자의 시대,2022,빈야민 애펠바움,경제/경영,경제학의 사회적 영향,"20세기의 각 시대별 경제적 흐름과 경제학자의 업적을 대비해서 보여주고 있다.밀턴 프리드먼은 징병제 폐지등을 주장하며, 자유시장의 극대화에 막대한 공헌을 한 인물이다. 대공황 이후 뉴딜정책으로 대표되는 케인스주의가 득세한 미국 경제학계에서 감세를 주창한 윌터 헬러와 함께, 프리드먼의 통화주의는 70년대의 인플레이션 상황에서 빛을 발한다.80년대의 레이거노믹스는 로버트 멘델이 스태그플레이션을 감세와 고금리 정책으로 극복하자는 제안에서 비롯되어, 이른바 공급중시 경제학으로 꽃을 피우게 된다. 하지만 감세로 인한 불평등 심화는 지속적으로 부정정인 영향을 주고 있다. 반독점의 전통을 와해시킨 스티글러와 규제완화에 앞장선 칸도 중요한 영향을 주었다.짐 토치로부터 비롯된 비용편익분석의 대두, 프리드먼은 금본위제포기 및 변동환율제, 먼델은 유로화의 탄생에 역할을 한다. 칠레의 시카고학파에 의한 산업화의 실패와 대만의 국가주도 산업정책이 대비되어 보여진다. 효율적 시장가설이 파생상품과 금융가들의 실패를 설명못했으며, 그안에서 그린스펀의 한계에 대해서도 살펴본다."
40,골목의 전쟁,2017,김영준,경제/경영,시장 복잡성,"요식업 자영업을 둘러싼 사회적 이슈과 대중들의 인식에서 문제점을 찾고 개선하는 방안을 제시한다.대만카스텔라의 몰락을 방송의 영향으로 알고들있지만, 실제로는 자영업의 고질적인 문제점이 근본적인 원인이라는 주장으로 시작한다.유행의 사이클은 사람들이 열광할때 이미 수익성이 낮은 시점이 되므로, 많은 이들이 실패할수밖에 없다는 점을 명확하게 인식하라고 한다.성공한 사람들의 이야기가, 원인에 대한 잘못된 분석과 운의 큰 영향을 인지하지 못함을 잘 인지해서, 사업의 성공 요인을 냉철하게 파악해야 한다.원가에서 인건비,임대료등 재료비 이외 부분을 잘 인식하고, 유통구조와 저생산성의 농업구조에 대한 이해를 통해 비용의 진실을 잘 파악해야 한다.프랜차이즈가 품질의 상향 평준화에는 도움을 주지만, 획일성으로 인한 상권의 쇠퇴에도 부정적인 영향을 준다. 젠트리피케이션은 임대주뿐 아닌 임차인들의 쏠림현상 및 권리금등 다른 요인들도 주목해야 한다.자영업 성공을 위해 철저한 준비와 냉정한 자기 분석이 필요하며, 점차 자영업자 비율이 줄어들고 있어 장기적으로는 기회가 있을수 있음도 알려준다"
41,공간의 미래,2021,유현준,과학/기술,코로나19와 기후 변화,"코로나로 인한 도시 공간의 변화에 대한 전망을 설명하고 있다.주거 공간은, 발코니와 개인공간이 보강된 좀더 넓은 아파트가 필요하며, 기둥식 구조로 재건축 필요없는 공간으로 다시 태어나야 한다.　종교 공간은, 밀집구조의 한계로 인해 쇠퇴할 가능성 있으므로, 주중에 지역주민을 위해 활용하는 방안을 고려하자.　교육 공간은, 전염병 방지를 위해, 좀더 작은 학교로 쪼개야 하는데, 온라인 학습이 강화되어야 한다. 이는 맞춤형 교육추세로 잘 맞는다.업무 공간은, 재택근무와 거점 오피스 방식이 지속될 것이며, 공동체 의식 함양을 위해서 비전과 기업철학을 강조해야 할 것이다.도시의 밀도는 경쟁력때문에 낮아지기는 힘들 것이다. 하지만, 지하로 물류터널을 만들고 지상에 길쭉한 공원 공간과, 그린벨트 주변의 엣지 시티형태로 보완할 수 있다.상업 공간은, 밀도를 낮추면서도 수익성을 위해 상류층 전용공간으로 바뀔 우려가 크며, 남는 오피스는 주거 공간으로 개조가 필요하다.주거 공간의 부족을 위해 공급을 늘리는 것을 적극 검토하여야 한다.국토의 균형 발전을 위해선, 지역별로 특색 있는 공간 (대전은 연구형 기업타운, 여주는 자전거길)을 창출을 위한 제도적 개선이 필요하다."
42,공간이 만든 공간,2020,유현준,과학/기술,건축과 문화,"인류의 문명이 공간과 건축과 상호 작용하는 역사를 조명하는 책이다.인류는 빙하기 이후 농업의 시작되면서 문명과 도시를 만들어냈다.하지만, 동양과 서양은 기후의 차이에 의해 농업의 형태도, 문명의 하나로서의 건축 양식도 다른 길을 걷게 된다.서양은 강우량이 적어서, 밀농사가 가능하며, 지붕이 아닌 벽식 구조를 띠고 있다. 이에 반해 동양은 강우량이 많아, 벼농사 위주이며, 지붕을 받들고 있는 기둥이 공간을 만들고 있다. 사고 방식도 서양은 개인의 합리성과 절대적 가치, 동양은 주변과의 관계와 상대적 가치를 주요해지게 된다. 하지만, 도자기가 서양에 전파되면서, 그안에 묘사된 정원을 보고 서양에서도 기하학적 구조가 아닌 자연풍경식의 정원이 유행하는등 동양의 미적 요소가 전달된다. 건축에서도, 미스 반 데어 로에나 르 코르뷔지에는 바르셀로나 파빌리온등에서 기둥으로 만든 처마와 같이 동양적인 요소를 접목한 건축을 선보인다. 20세기 후반의  루이스 칸, 안도 다다오등의 동서향 이종교배 양식이 꽃을 피웠다.이제는 IT와 같은 기술과의 이종교배가 활발하며, 프랑크 게리나 파라메트릭 디자이너들의 불규칙적인 형태의 건축등이 새로운 형태로서 발전하고 있다. 건축은 자연의 제한 안에서, 융합을 통해 새로운 양식을 창출하고 있다."
43,공간혁명,2019,세라 골드헤이건,과학/기술,도시 설계,"도시 공간의 가치에 대한 인지심리학을 기반으로한 새로운 시각을 제시한다.현대 도시는 건축 디자인을 포함한 빈곤한 도시 경관 문제가 있으며, 이는 개발도상국/선진국에 관계없이 동일한 상황이다. 하지만 최근의 인지심리학등의 성과에 의하면 건축물은 사람의 감정과 사고 방식에 지대한 영향을 주며, 이것은 비의식적인 인지상태에서 이루어진다. 비의식적인 인지는 직접 반응이나, 은유적인 인지 스키마의 형태를 띠고 있다. 저자는 크게 3가지의 범주로 도시 공간이 인간에 영향을 준다고 한다. 첫째, 인간의 신체인데, 시카고의 클라우드게이트에서 거울에 비친 신체, 벨기에의 스트림박물관의 외벽 질감이 그 예이다. 둘째, 자연 환경인데, 루이스 칸의 소크연구소는 자연과 건축물의 조화를 잘 보여준다. 셋째, 사회적 공간인데, 같은 시대이지만, 예루살렘, 파리, 인사동은 매우 다른 경관을 통해 공간에 맞는 행동 유도성을 보여준다.따라서 공간 경험을 개선하기 위해서, 질서있지만, 단조롭지 않게 어느 정도의 복잡성을 지닌 디자인이 중요하다. 또한 솜씨좋게 선택된 은유에 의해서 공간의 개성이 잘 살아난다. 이를 통해서 개개인의 역량을 자유롭게 발휘할 수 있는 환경을 제공하는 것이 필요하다"
44,공정하다는 착각,2020,마이클 샌델,인문/자기계발,능력주의 비판,"21세기의 지배적인 담론이 된 능력주의의 문제점을 고발하고, 이를 보완할 수 있는 정책 방향을 제시한다.능력주의는 높은 성과를 보이는 재능을 가진 이들에 대한 합당한 보상을 강조하고 있다. 하지만, 센델을 포함한 롤스주의자들이 문제를 제기하는 지점은, 재능의 원천이다. 즉, 유전적인 측면을 제외하고도, 부모의 사회적 지위에 의해, 자식의 교육을 포함한 다양한 사회적 혜택이 차이나게 되어, 이것이 능력의 차이로 이어진다는 것이다.이를 극복하기 위해 단순한 기회의 균등에 만족하지 말고, 조건의 균등에 대해서도 주목해야 할 시점이다"
45,과학이 필요한 시간,2022,궤도,과학/기술,과학기술과 인류,"현대 과학(수학)의 중요한 테마들을 쉽게 설명하지만, 하나하나 결코 가볍지는 않은 책.  [컴퓨터]. 인공지능에서 알고리즘과 달리 AI는 예측을 한다. 가상공간은 AI로 정교해짐. 튜링머신 암호해독을 위한 에니그마와 튜링테스트. 양자컴퓨터는 50개이상의 큐빗으로 양자우위.  　　　[인간]. 시간은 엔트로피의 증가. 기억은 알츠하이머를 극복한 수녀들의 시냅스 증가. 꿈은 기억을 처리하는 과정. 노화를 극복하기 위한 인공장기 . 죽음 직전의 영화같은 기억은 감마파로 확인  　　　[우주론]. 블랙홀은 우리은하 중심의 거대질량 블랙홀. 중력파는 무거운 질량에 의한 시공간의 떨림. 화성은 테라포밍이 400년 소요. 혜성을 통해 지구 생명의 기원을 탐사한 로제타호. 제임스망원경을 통한 우주의 신비 사진 공개.  　　　[최종 이론]. 상대성이론은 빛의 속도만 절대. 엔트로피는 공간내의 배치확률. 정보이론에서 블랙홀 주변의 홀로그램이 우주. 양자역학의 상태중첩은 다중우주로. 표준이론 페르미온 12종+보손 4종과 힉스입자. 끈이론은 보손+페르미온 초대칭. 　　　　[수학 이론]. 페르마의 정리는 세제곱 이상수, 와일스가 타원곡선으로 해결. 차원은 우주가 3차원임을 증명+ 에보트의 플랫랜드. 푸앵카레는 밀레니엄 7대과제 끊임없고 닫혀있는 당구공과 위상동형. 파이는 아르키메데스의 무한정다각형. 무한은 무한의 일부는 무한과 동일, 힐베르트의 호텔"
46,국가란 무엇인가,2017,유시민,역사/사회,시민권과 국가,"국가에 대한 철학적/사회과학적 사상에 대한 종합정리서이다. 먼저, 국가론을 홉스의 국가주의, 밀의 자유주의, 마르크스의 사회주의로 변화한 과정을 설명한다. 통치자에 대해서는 플라톤과 맹자의 철학자와 군자가 텔로스(목적)를 추구하는 국가론과, 최악을 통치자를 견제할 수 있는 민주주의를 이해해햐 한다. 애국심에 호소한 피히테와 함께, 악으로 규정한 톨스토이와, 자유주의적 가치를 공유한 애국심을 얘기한 르낭이 있다.칼 포퍼틑 혁명을 유토피아적 공학으로 규정하고 점진적 공학의 개량주의를 택했으나, 하이에크는 이마저도 자유지상주의의 적으로 규정한다.진보주의의 정의는 베블런에 의하면, 끊임없는 현실의 변화에 최적화하려는 의지로서, 보수주의는 이에 반한다.개인은 이타심이 도덕적 선이나, 국가는 정의 실현을 이상으로 삼아야 한다. 마지막으로 정치인의 도덕법을 칸트의 정언명령과 베버의 책임 윤리로 설명하면서, 비창조적 이상주의에 치우친 혁명가들의 실패를 조명한다"
47,국화와 칼,1946,루스 베네틱트,역사/사회,일본 문화,"베네딕트는 제 2차 세계 대전에서 미국이 마주친 일본인을 해석하라는 임무를 부여받는다. 그들의 행동이 미국인의 시각에서 이해되지 않기 때문이었으리라. 그는 모든 인류가 국가에 관계없이 동일하다는 사해동포주의를 경계하면서, 그래도 민족간의 차이를 서술하려는 노력이 필요하다고 강조한다. 그에 의해서 정리된 일본인의 모습은 다음과 같다.사람은 모두 자기에게 맞는 위치를 가지고 있고, 거기에 맞추어 살려고 노력해야 한다. 타인과의 관계에서 가장 중요한 것은 은혜를 의미하는 ""온""인데, 남에게 받은 것은 반드시 동일하게 갚아야 한다는 절대적인 의무이다.하지만 이것이 계약 관계가 되면, 의리인 ""기리""가 되는데, 결국 미안해서가 아니라, 계약으로 받았기 때문에 정확히 동일하게 갚아주면 된다.이런 의무의 굴레를 해소하기 위해, 인정인 ""닌죠""의 세계에서 쾌락을 잠시 즐기다 오면 된다. 이런 온(충효)과 기리, 닌죠가 서로 어울리지 않아 보여도, 각자의 적절한 위치에서 일관성없이 수행되어도 되며, 단지 ""마코토""의 마음가짐으로 성실히 임하면 되는 것이다."
49,그들은 왜 나보다 덜 내는가,2021,이매뉴얼 사에즈게이브리얼 저크먼,경제/경영,조세 불공정성,"미국의 현 조세제도가 불평등의 심화에 결정적인 기여를 하고 있다는 것을 광범위한 정량적 분석을 통해 파헤지고 있다.미국의 하위 50%의 평균 소득은 1.5만달러로 평균 8.5만달러보다 상당히 낮은데, 사회보장세, 건강보험등 역진적 세금제도와 법인세등 자본에 대한 세금이 낮은 관계로 오히려 최고 부자가 낮은 세율이 적용되고 있다.하지만 1980년이전까지는 지속적으로 법인세 및 최고 소득에 대한 세율증가로 인해, 세계적으로 가장 혁신적인 누진세제를 가지고 있었고, 이것이 실제로 불평등 개선이 긍정적인 영향을 준 것을 확인할 수 있다.하지만, 파트너십등을 통한 조세회피와, 법인들의 조세 도피처로 수익 이전을 통한 법인세 면제등이 조세 집행에 어려운 환경을 조성했고, 레이건시대에 정치적 타협으로 부자들을 위한 감세정책이 전격적으로 시행된다.이 결과로 그후 40년동안 노동계층의 소득은 완전히 정체했고, 이를 개선하기 위한 대책으로 국민소득세와 같이 누진적인 세금체계를 구축하여, 불평등을 해소하고, 동시에 국민의 건강,교육을 보장하는 방향으로 나가야 한다"
50,그리드,2021,그레천바크,과학/기술,지속 가능한 에너지,"재생 에너지가 부각되는 시점에서, 미국의 전력 산업에 대한 역사를 바탕으로 전력 그리드의 과제와 전망을 제시한다.전기는 19세기 에디슨의 발명으로 인해 산업으로 발전이 시작된다. 그는 병렬 방식로 제안하면서, 전원 하나에 여러 전기 기구를 사용할 수 있게 했으나, 그가 고집한 직류방식은 변압과 수송효율이 좋은 다상 교류 방식으로 대체된다.로버트 인설은 시카고 에디슨회사등을 설립해, 소규모 전력회사를 대규모 그리드로 통합하여 독점적인 산업으로 발전시킨 주인공이다.하지만, 1970년대 에너지 위기와 함께, PURPA 및 ISO와 같이 그들의 독점권이 더 제한받고 다양한 발전회사들이 그리드에 참여하는 형태가 되는데, 이것이 전력 그리드를 약화하는 하나의 원인이 된다. 발전소나 송배전시설은 노후화와 관리부재로 인해 블랙아웃 가능성을 높이고 있는데 발전소와 송배전 사업을 분리시킨 에너지정책법은 이를 부채질했다. 한편 피크수요를 감지하는데 효과적인 스마트미터기 보급은 소비자의 개인정보 우려때문에 어려움을 겪는다. 블랙아웃에서 회복력을 발휘하기위해 마이크로 그리드같은 국지적 전력시스템도 만들어지고 있으나 아직 매크로그리드와 통합에 대해 정부는 부정적이다. 재생에너지가 기후위기를 극복하기 위해 대두되고 있으나 불규칙한 생산으로 인해 양수발전등  저장수단이 필수이다. 배터리가 대안으로 유력하지만 더 많은 혁신이 필요하다. 절전을 통해 이른바 네가와트를 생산하는 것도 중요한 시대정신이다. 이와 스마트그리드를 조합해 가상발전소를 운영할 수 있는 혁신도 더욱 많이 고민해야한다"
51,그리드를 파괴하라,2016,이동우,경제/경영,조직 혁신,"기업의 혁신을 위해서는 물리적인 의미에서의 그리드와 눈에 보이지 않는 그리드를 제거하는 것이 필요하다고 주장한다.현대 기업의 역사를 통해 테일러리즘과 포디즘의 영향을 통해, 획일화되고 개인별로 명확히 구획된 공간에서 일하는 형태가 고착이 되었다.하지만, 최신의 기업 활동에서 창의력이 매우 중요하가 대두되고 이를 위해서는 많은 이들이 자유롭게 소통할 수 있는 문화의 필요성이 커지고 있다. 이를 위해서 페이스북과 같이 거대 공간에 칸막이가 거의 없이 책상이 놓여 있어서, 사람들간의 가깝게 대화하고 협력하는 공간을 창출하고 있다.또한, 거대조직의 창의성이 떨어지는 경향이 있으므로, 리더에 속한 구성원의 숫자를 한정하고, 브레인스토밍과 같이 강제적인 아이디어 동원보다, 넓은 광장에서 약간의 소음속에서 일하는 것이 더 생산적일 수 있다. 한편, 다양성과 소수의 의견을 존중할 수 있는 문화를 리더가 받아들여야 한다"
52,글로벌 고령화 위기인가 기회인가,2016,폴 어빙,경제/경영,고령화 사회,"고령화 시대를 대처하는 방법들을 여러 분야의 전문가들이 제시하고 있다.고령화에 대해서는 사회가 후퇴하는 부정적인 시작도 있고, 새로운 기회로 보는 긍정적인 시각도 있다. 하지만 고령자들도 개인별로 다양한 차이가 있기에 이에 근거한 맞춤형 대응이 필요하다. 의학측면에서는 유전자등에 기반한 예방과 진단 의학의 발전이 고령사회에 대두될 것이다. 한편, 새로운 니즈는 새로운 산업을 발전시키는데, 노인지원/인프라보강/라이프스타일/자원봉사등이 변화가 예상된다.한편, 노년층은 점점 일을 계속하며 자기를 실현하려고 할 것이며, 이것이 자선활동들도 좀더 풍부해지면, 대학도 고령층에 타겟팅하는 방향으로 전환을 모색하고 있다.영국에서 주목하는 고령화의 3가지 핵심은, 알츠하이머 예방, 고령친화환경, 나이차별종식이다. 재무 관리측면에서도 장수하는 환경을 대비한 장기적이고 촘촘한 금융설계가 필요하다. 한편, 고령층이 되는 것을 인생의 새로운 전환기로 받아들이고, 가능성을 탐색하고 실천할 수 있는 제2의 노화혁명이 다가오고 있음을 모두 인식해야 할 것이다"
53,기대의 발견 ,2023,데이비드 롭슨,역사/사회,기대와 인식,"우리가 흔히 플라시보 효과라고 부르고 있는, 주관적 기대가 현실화되는 과정에 대해, 최신 연구를 제시하면서 설명한다. 이는, 최근에 밝혀지고 있는 뇌가 예측 기계라는 과학적 사실에 기반하고 있으며, 예측과 뇌, 그리고 신체 활동이 서로 연결되어 발생하는 현상이다.뇌에 긍정적인 예측이 결합된 플라시보와, 부정적인 예측이 결합된 노세보 는, 실제로 우리 몸의 화학 작용에 영향을 주면서 발생한다고 한다.이는 다양한 분야에 적용될 수 있는데, 타인의 불행을 보고서 나도 동조하게 되는 집단 히스테리(거울 뉴런 효과), 극한의 운동에서 느끼는 한계점 현상이 뇌의 에너지 Budget에 기인함을 설명한다.나아가서 긍정적인 기대에 의해, 식욕과 올바른 식습관이, 스트레스를 생산적인 파워로 변화시키고, 정신적 에너지의 한계라는 잘못된 관념을 극복할 수 있다. 인지 능력 개발과, 노화 현상에도 긍정적인 영향을 줄 수 있다"
54,기분이 태도가 되지 않게,2020,레몬심리,인문/자기계발,감정 관리,"우선은 감정을 잘 억제해야 한다. 부정적인 결과나 피드백에 당황하거나, 분노하지 말고, 잘 컨트롤하는 것이 필요하다.   또한 다른 사람의 부정적인 감정에 전염되지 않기 위해서는 의도적으로 멀리할 필요도 있다.  나 자신에 대해서 친구를 대하듯이 이해하고 공감해주고, 남의 평가에 연연하지 말고, 자신 스스로와 비교하고 개선해야 한다. 하지만 심리학자의 모든 말들은 모호하기도 하고, 대증요법적으로, 상황에 맞게 계속 변하는 특징이 있다.  자신을 이해하고 소중히 하면서도, 그것이 타인에게 심한 영향을 줄 정도로 표출되지는 않아야 하는 것. 이 책이 요구하는대로 양쪽다 잘하는 것은 과도한 요구 같고, 그냥 유연하게 대응할 줄 알아야 한다는 것, 이정도가 실제로 얻을 수 있는 배움인 것 같다"
55,기브앤테이크,2013,애덤 그랜트,경제/경영,이타주의,"남에게 베푸는 사람이 성공적일 수 있음을 보여준다. 이를 기버라고 부른다.인맥이 성공의 중요한 요소로 인식되고 있는데, 인맥이 넓은 사람의 특징은, 보상을 바라지 않고 주변사람을 도와준다는 것이다. 기버는 좀더 좋은 성과를 거두는 환경은 동료들과의 협업을 통해서다. 또한 다른이의 성과를 개선하는데도 도움이 되는데 그들의 능력을 이용하기보다, 인정하고 신뢰를 주는 기버가 되면 주변사람들의 가능성을 실현시킬수 있다말을 할때도 더듬고 뭔가 부족함을 보여주는 것이 같은 뛰어난 능력을 가진자라도 보다 신뢰감을 주어 공감과 협조를 이끌어낼수 있다.하지만 기버도 지치거나 이용당할 수 있기 때문에 대착이 필요하다.먼저 남을 위하는 만큼 자기도 위해야한다. 다른이의 인정도 받으면서 선행의 목적도 분명한 편이 지속성이 좋다.또한 때로는 당당하게 요구할수도 있어야 하는데 협상에서 얻기 위해서 가족을 위한다는 명분을 떠올리는 것도 좋다.마지막으로 실천을 강조한다. 실천이 우리가 과소평가하고 있는 기버의 위력을 실감하게하고 우리안에 내재된 공동체의 소속감에 기인한 호혜적 선의를 일깨을수 있기 때문이다"
